ticker,call_volume,put_volume,total_volume,put_call_ratio,call_oi,put_oi,total_oi,unusual_activity
AAPL,31309,24919,56228,0.8,73734,78467,152201,High
NVDA,49215,15688,64903,0.32,35342,45157,80499,Medium
TSLA,45545,3197,48742,0.07,99045,42698,141743,Low
MSFT,27671,28184,55855,1.02,52107,59663,111770,High
SPY,7811,9546,17357,1.22,44754,19411,64165,Low
QQQ,23227,11680,34907,0.5,94896,79295,174191,Low
GOOGL,16111,4802,20913,0.3,18155,47384,65539,Medium
AMZN,26918,23445,50363,0.87,70713,38306,109019,Medium
META,36065,28199,64264,0.78,26371,10049,36420,Low
NFLX,25932,32855,58787,1.27,71434,51016,122450,Medium
