ticker,prev_close,premarket_price,change_pct,volume,avg_volume,relative_volume,market_cap_b,sector
AAPL,181.09,201.03,11.01,1792743,5304572,0.34,1794.6,Consumer
NVDA,104.6,97.45,-6.84,4144887,8204212,0.51,1807.3,Financial
TSLA,57.2,63.72,11.4,1866891,5521373,0.34,644.9,Healthcare
MSFT,114.19,112.0,-1.92,1407371,6743066,0.21,1839.4,Consumer
GOOGL,66.33,73.94,11.48,1600942,4275709,0.37,2357.7,Financial
AMZN,183.86,205.31,11.66,2528388,9916786,0.25,2044.1,Technology
META,72.77,80.76,10.98,3485659,4385357,0.79,2427.1,Technology
NFLX,55.59,53.71,-3.38,3497723,5056518,0.69,1833.9,Financial
AMD,368.26,357.86,-2.82,1873415,7249859,0.26,942.0,Consumer
BABA,248.7,230.36,-7.37,2195505,8281369,0.27,1354.8,Consumer
PLTR,363.19,377.56,3.96,1684398,1564685,1.08,596.0,Technology
COIN,386.41,420.76,8.89,2804238,3630708,0.77,1764.4,Technology
SHOP,148.33,152.56,2.85,1385160,7080526,0.2,504.1,Technology
RBLX,395.41,424.85,7.44,2330919,7940119,0.29,52.1,Financial
ROKU,297.4,316.97,6.58,2209818,3231785,0.68,1081.8,Technology
SNAP,370.24,403.56,9.0,1096107,8130144,0.13,200.0,Energy
UBER,305.36,319.87,4.75,2221690,1491234,1.49,367.6,Financial
PYPL,316.27,326.48,3.23,997421,7906726,0.13,130.9,Consumer
SQ,58.9,55.46,-5.84,869598,6292895,0.14,1912.9,Healthcare
HOOD,247.15,261.75,5.91,2932868,1973548,1.49,1624.1,Energy
