ticker,rsi,macd,bb_position,atr,support,resistance,trend
AAPL,62.0,2.233,0.86,7.26,215.51,274.04,Neutral
NVDA,67.1,1.345,0.58,6.84,217.61,278.95,Bullish
TSLA,38.3,0.428,0.45,14.93,187.04,240.72,Bearish
MSFT,30.7,-0.168,0.74,11.37,192.32,261.7,Bearish
GOOGL,58.2,-0.748,0.59,14.73,199.47,276.24,Bearish
AMZN,41.0,1.226,0.67,13.23,189.21,259.97,Bearish
META,66.1,-1.782,0.99,8.11,191.18,275.34,Neutral
NFLX,77.2,-0.346,0.55,9.44,219.21,243.01,Bullish
AMD,31.5,-0.658,0.49,6.84,195.79,273.77,Neutral
BABA,24.2,-0.955,0.67,6.66,190.17,251.81,Bullish
